Price,Type,Year
-51.42078100321371,Electricity Export,2021
-49.82078300321371,Electricity Export,2021
-45.80078200321371,Electricity Export,2021
-43.42078100321371,Electricity Export,2021
-39.29078000321371,Electricity Export,2021
-39.86078400321371,Electricity Export,2021
-38.86078400321371,Electricity Export,2021
-38.40078100321371,Electricity Export,2021
-38.52078400321371,Electricity Export,2021
-39.18078300321371,Electricity Export,2021
-40.590783003213716,Electricity Export,2021
-44.62078200321371,Electricity Export,2021
-49.16078300321371,Electricity Export,2021
-51.710782003213716,Electricity Export,2021
-52.960782003213716,Electricity Export,2021
-50.48078300321371,Electricity Export,2021
-44.61078400321371,Electricity Export,2021
-42.960782003213716,Electricity Export,2021
-44.55078200321371,Electricity Export,2021
-50.62078200321371,Electricity Export,2021
-60.60078200321371,Electricity Export,2021
-63.62078200321371,Electricity Export,2021
-61.53078200321371,Electricity Export,2021
-57.92078100321371,Electricity Export,2021
-54.380780003213715,Electricity Export,2021
-52.55078200321371,Electricity Export,2021
-46.510781003213715,Electricity Export,2021
-45.24078100321371,Electricity Export,2021
-41.710782003213716,Electricity Export,2021
-41.62078200321371,Electricity Export,2021
-41.210782003213716,Electricity Export,2021
-40.82078300321371,Electricity Export,2021
-44.28078200321371,Electricity Export,2021
-60.57078300321371,Electricity Export,2021
-68.6207820032137,Electricity Export,2021
-74.2407850032137,Electricity Export,2021
-78.29078000321371,Electricity Export,2021
-73.5707790032137,Electricity Export,2021
-70.8207790032137,Electricity Export,2021
-67.64077900321371,Electricity Export,2021
-65.6207820032137,Electricity Export,2021
-64.5307860032137,Electricity Export,2021
-64.6307840032137,Electricity Export,2021
-65.9707800032137,Electricity Export,2021
-72.0807810032137,Electricity Export,2021
-70.0307860032137,Electricity Export,2021
-63.79078000321372,Electricity Export,2021
-61.140782003213715,Electricity Export,2021
-53.880780003213715,Electricity Export,2021
-48.74078100321371,Electricity Export,2021
-39.640782003213715,Electricity Export,2021
-49.57078300321371,Electricity Export,2021
-48.19078200321371,Electricity Export,2021
-45.52078400321371,Electricity Export,2021
-43.31078100321371,Electricity Export,2021
-44.72078000321371,Electricity Export,2021
-49.640782003213715,Electricity Export,2021
-55.95078400321371,Electricity Export,2021
-67.67078500321371,Electricity Export,2021
-72.5707790032137,Electricity Export,2021
-70.3507850032137,Electricity Export,2021
-72.5307860032137,Electricity Export,2021
-70.6207820032137,Electricity Export,2021
-68.6207820032137,Electricity Export,2021
-64.5307860032137,Electricity Export,2021
-64.9507840032137,Electricity Export,2021
-66.7707840032137,Electricity Export,2021
-67.3707820032137,Electricity Export,2021
-72.3507850032137,Electricity Export,2021
-68.9807830032137,Electricity Export,2021
-61.77078400321371,Electricity Export,2021
-59.11078400321371,Electricity Export,2021
-53.55078200321371,Electricity Export,2021
-49.67078100321371,Electricity Export,2021
-45.18078300321371,Electricity Export,2021
-44.32078300321371,Electricity Export,2021
-42.66078300321371,Electricity Export,2021
-41.23078300321371,Electricity Export,2021
-40.66078300321371,Electricity Export,2021
-40.890782003213715,Electricity Export,2021
-43.55078200321371,Electricity Export,2021
-49.87078200321371,Electricity Export,2021
-60.19078200321371,Electricity Export,2021
-65.41078300321371,Electricity Export,2021
-64.7407850032137,Electricity Export,2021
-64.0907830032137,Electricity Export,2021
-64.56078400321371,Electricity Export,2021
-64.40078100321371,Electricity Export,2021
-64.16078300321371,Electricity Export,2021
-64.4607780032137,Electricity Export,2021
-64.7807860032137,Electricity Export,2021
-64.5207840032137,Electricity Export,2021
-66.79078000321371,Electricity Export,2021
-69.1007850032137,Electricity Export,2021
-62.61078400321371,Electricity Export,2021
-58.260781003213715,Electricity Export,2021
-54.37078200321371,Electricity Export,2021
-51.72078000321371,Electricity Export,2021
-47.010781003213715,Electricity Export,2021
-45.49078100321371,Electricity Export,2021
-43.55078200321371,Electricity Export,2021
-42.45078400321371,Electricity Export,2021
-41.02078400321371,Electricity Export,2021
-42.260781003213715,Electricity Export,2021
-43.03078200321371,Electricity Export,2021
-52.140782003213715,Electricity Export,2021
-62.16078300321371,Electricity Export,2021
-71.14077900321371,Electricity Export,2021
-67.4507840032137,Electricity Export,2021
-65.6807800032137,Electricity Export,2021
-62.62078200321371,Electricity Export,2021
-59.36078400321371,Electricity Export,2021
-58.70078400321371,Electricity Export,2021
-58.22078000321371,Electricity Export,2021
-55.330781003213716,Electricity Export,2021
-55.380780003213715,Electricity Export,2021
-61.18078300321371,Electricity Export,2021
-63.98078300321371,Electricity Export,2021
-59.32078300321371,Electricity Export,2021
-54.29078000321371,Electricity Export,2021
-51.92078100321371,Electricity Export,2021
-49.640782003213715,Electricity Export,2021
-44.130780003213715,Electricity Export,2021
-41.330781003213716,Electricity Export,2021
-38.48078300321371,Electricity Export,2021
-37.04078000321371,Electricity Export,2021
-36.47078000321371,Electricity Export,2021
-36.23078300321371,Electricity Export,2021
-41.47078000321371,Electricity Export,2021
-43.62078200321371,Electricity Export,2021
-54.04078000321371,Electricity Export,2021
-57.18078300321371,Electricity Export,2021
-57.50078300321371,Electricity Export,2021
